STADIUM_NAME_OFFICIAL,CITY,CAPACITY,MATCHES_HOSTED,TOTAL_ATTENDANCE,AVG_FILL_RATE_PCT,SELLOUT_MATCHES
Düsseldorf Arena,Düsseldorf,47000,5,230638,98.1,2
Olympiastadion,Berlin,71000,6,410525,96.4,0
Cologne Stadium,Cologne,43000,5,210691,98.0,0
Stuttgart Arena,Stuttgart,54000,5,270000,100.0,5
Munich Football Arena,Munich,66000,6,381013,96.2,0
Volksparkstadion Hamburg,Hamburg,49000,5,236897,96.7,0
Leipzig Stadium,Leipzig,40000,4,153579,96.0,0
BVB Stadion Dortmund,Dortmund,62000,6,362952,97.6,0
Arena AufSchalke,Gelsenkirchen,50000,4,195341,97.7,0
Frankfurt Arena,Frankfurt,47000,5,229652,97.7,0
